Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2729,EB Princess Elizabeth Ave between 106 - 102 St,50,(c),53.56806178,-113.49916298,"(53.56806178253305, -113.49916297990252)"
7016,WB Whitemud Dr east of 17 Street,80,"(b), (c)",53.48260872,-113.36274539,"(53.48260872136551, -113.36274538644595)"
4091,WB 144 Ave btwn 88A - E of 92 St,30,(f),53.60583044,-113.47866447,"(53.605830441065386, -113.47866446627)"
2445,NB 142 St btwn 104A - 105 Ave,50,"(a), (h)",53.54725370,-113.56574834,"(53.54725370471114, -113.56574833928225)"
7169,EB Anthony Henday Dr between 66 St - Manning Dr,100,"(a), (b), (c)",53.64075388,-113.41656547,"(53.64075388187443, -113.41656547211505)"
7018,NB Anthony Henday Dr.  @ Yellowhead Tr.,100,"(a), (b), (c)",53.57428873,-113.66123606,"(53.574288729218694, -113.66123605661255)"
4027,WB 43 Ave W of 111 - 114 St,30,(f),53.47868681,-113.52102640,"(53.478686810664925, -113.52102639946234)"
2589,EB 51 Ave between 114 - 112 St,50,(h),53.48819509,-113.52190308,"(53.48819508766002, -113.52190308158643)"
7192,WB Whitemud Dr between North Sask River - 149 St,80,(h),53.51093366,-113.56929740,"(53.51093365865445, -113.56929739675176)"
4103,WB 93A Ave btwn 58 St - 67A St,30,(f),53.53043800,-113.42743264,"(53.53043799936681, -113.42743263887124)"
2757,SB 163 St between 99 - 96A Ave,50,(b),53.53571167,-113.60275402,"(53.53571166825143, -113.60275402414275)"
4120,WB 132 Ave E of 69 - 72 St,30,(f),53.59226373,-113.44996868,"(53.59226373455659, -113.44996868458652)"
4056,SB 106 St btwn 40 - 36A Ave,30,(f),53.47357915,-113.50435933,"(53.473579151892565, -113.50435933106311)"
4097,WB 144 Ave btwn 69 - 74 St,30,(f),53.60580695,-113.45042454,"(53.605806951585, -113.45042453558332)"
2687,SB Towne Ctr Blvd btwn Tomlinson Way-Tompkins Wynd,50,(h),53.45219130,-113.58050094,"(53.452191296999644, -113.58050093978656)"
2739,NB 66 St between 132 - 134 Ave.,50,(h),53.59383320,-113.44285006,"(53.59383320324485, -113.44285005985127)"
7095,NB 121 St between Kingsway Ave - Yellowhead Tr,60,(c),53.57687194,-113.53053101,"(53.57687194294137, -113.53053101357578)"
4231,WB 144 Ave Btwn 57 - 62 St,30,(f),53.60566066,-113.43325359,"(53.60566066045812, -113.4332535883275)"
2796,SB 159 St between 87 Ave - Whitemud Dr,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
7005,EB Yellowhead Trail @ Anthony Henday Dr,100,"(a), (b), (c)",53.57357317,-113.66018743,"(53.5735731656759, -113.66018742546709)"
7017,SB Anthony Henday Dr. @ Yellowhead Tr.,100,"(a), (b), (c)",53.57298521,-113.66198874,"(53.5729852141935, -113.66198873657481)"
7082,WB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64716486,-113.48933364,"(53.64716486378753, -113.4893336448136)"
7206,WB Stony Plain Rd between 178 - 182 St,60,(c),53.54139729,-113.63189805,"(53.5413972913489, -113.63189805198344)"
4077,WB 80 Ave btwn 163 - 166 St,30,(f),53.51373496,-113.60527692,"(53.5137349614367, -113.60527692473087)"
2669,NB 127 St between 135 - 137 Ave,50,(b),53.59797756,-113.54117476,"(53.59797755575344, -113.54117475648204)"
2738,SB 66 St between Delwood Rd - 132 Ave,50,(h),53.59390399,-113.44305833,"(53.5939039853878, -113.44305832894702)"
4174,WB 144 Ave Btwn 74-76 St,30,(f),53.60698514,-113.45644987,"(53.60698513710648, -113.45644986525289)"
2723,NB 95 St between 112 - 114 Ave,50,(h),53.56265622,-113.48715003,"(53.562656221220564, -113.48715002601968)"
7013,EB Anthony Henday Dr @ Ray Gibbon Dr,100,"(a), (b), (c)",53.59113854,-113.64613646,"(53.5911385449838, -113.64613646310981)"
2745,WB 127 Ave between 92 - 93 St,60,(h),53.58477414,-113.48367366,"(53.58477414147545, -113.48367366377676)"
4175,EB 144 Ave Btwn 76-74 St,30,(f),53.60683182,-113.45646824,"(53.60683182396364, -113.45646824016086)"
4050,SB 109 St btwn 164 Ave - Beaumaris Rd,30,(f),53.62354530,-113.50869668,"(53.62354529926539, -113.50869667875803)"
4060,EB 139 Ave btwn 34 - 30 St,30,(f),53.60302413,-113.39091373,"(53.603024127907695, -113.39091373041586)"
2797,SB Meadowlark Rd between 90 - 88A Ave,50,(h),53.52256727,-113.59374405,"(53.522567269337735, -113.5937440531623)"
4078,EB 80 Ave btwn 166 - 163 St,30,(f),53.51373496,-113.60527692,"(53.5137349614367, -113.60527692473087)"
2724,SB 95 St between 114 - 112 Ave,50,(h),53.56265622,-113.48715003,"(53.562656221220564, -113.48715002601968)"
4049,NB 109 St btwn Beaumaris Rd - 164 Ave,30,(f),53.62354530,-113.50869668,"(53.62354529926539, -113.50869667875803)"
4059,WB 139 Ave btwn 30 - 34 St,30,(f),53.60302413,-113.39091373,"(53.603024127907695, -113.39091373041586)"
